decision,label,kind,target,factor,overrides,overall_proxy,overall_delta,overall_weighted_error,august_proxy,august_weighted_error,august_bad_day_rate_max,max_month_delta,bad_day_rate_max,affected_validation_rows,affected_submission_dates,month_proxy_deltas,gate_failures,risk_failures
KEEP_CANDIDATE,purchase_day30_x1.08,single_day,purchase,1.08,{},5.942683464198222,0.006818002769072962,0.1424327772769838,6.295081868415968,0.12350139810110565,0.16129032258064516,-0.031806906023222226,0.2032520325203252,4,20140930,"{""2014-05"": -0.031806906023222226, ""2014-06"": 0.02693460932461189, ""2014-07"": 0.0, ""2014-08"": 0.032793230567015996}",,
KEEP_CANDIDATE,purchase_day30_31_x1.08,day_range,purchase,1.08,{},5.942683464198222,0.006818002769072962,0.1431522575352773,6.295081868415968,0.12276680924519928,0.16129032258064516,-0.031806906023222226,0.2032520325203252,7,20140930,"{""2014-05"": -0.031806906023222226, ""2014-06"": 0.02693460932461189, ""2014-07"": 0.0, ""2014-08"": 0.032793230567015996}",,
KEEP_CANDIDATE,redeem_day8_9_x0.96,day_range,redeem,0.96,{},5.942675986474534,0.006810525045385596,0.1418908019264203,6.268115326046134,0.12431039437220066,0.16129032258064516,-0.03339614563434523,0.2032520325203252,8,"20140908,20140909","{""2014-05"": -0.03339614563434523, ""2014-06"": 0.0047884099058324026, ""2014-07"": 0.04995791819224049, ""2014-08"": 0.005826688197181795}",,
KEEP_CANDIDATE,redeem_day13_x1.06,single_day,redeem,1.06,{},5.942607132010971,0.006741670581821957,0.14174690670715093,6.2934101216880105,0.12355155050294439,0.16129032258064516,-0.03669232895955954,0.2032520325203252,4,20140913,"{""2014-05"": -0.03669232895955954, ""2014-06"": 0.0, ""2014-07"": 0.03232005420321116, ""2014-08"": 0.031121483839058328}",,
KEEP_CANDIDATE,purchase_day4_7_x0.98,day_range,purchase,0.98,{},5.942585548886,0.006720087456851154,0.14197999941610462,6.268757951766194,0.12448180136492046,0.16129032258064516,-0.0062128806072712095,0.2032520325203252,16,"20140904,20140905,20140906,20140907","{""2014-05"": -0.0062128806072712095, ""2014-06"": 0.0042215441030775125, ""2014-07"": 0.02232177424165105, ""2014-08"": 0.0064693139172415925}",,
KEEP_CANDIDATE,redeem_weekday5_x0.97,weekday,redeem,0.97,{},5.942563989575299,0.006698528146150018,0.14235196341586773,6.293381977754702,0.12355239482094359,0.16129032258064516,-0.026995778178518393,0.2032520325203252,18,"20140906,20140913,20140920,20140927","{""2014-05"": -0.026995778178518393, ""2014-06"": -0.017901485178209775, ""2014-07"": 0.03980448721865848, ""2014-08"": 0.031093339905750028}",,
KEEP_CANDIDATE,purchase_day28_x0.94,single_day,purchase,0.94,{},5.942502676297115,0.006637214867966534,0.14204411937662803,6.234273978266852,0.12532563480557915,0.16129032258064516,-0.02801465958209981,0.2032520325203252,4,20140928,"{""2014-05"": 0.024357622084234976, ""2014-06"": 0.03099151970645586, ""2014-07"": 0.0, ""2014-08"": -0.02801465958209981}",,
KEEP_CANDIDATE,redeem_day25_27_x0.94,day_range,redeem,0.94,{},5.9424912458083785,0.006625784379229671,0.14263145680429387,6.266851841715224,0.125003004061039,0.16129032258064516,-0.04570129572434567,0.2032520325203252,12,"20140925,20140926,20140927","{""2014-05"": -0.04570129572434567, ""2014-06"": 0.0, ""2014-07"": 0.06742749439501505, ""2014-08"": 0.004563203866271515}",,
KEEP_CANDIDATE,redeem_day19_x0.94,single_day,redeem,0.94,{},5.942481928813086,0.006616467383937064,0.14189662365626377,6.302675184692792,0.12327359861280095,0.16129032258064516,-0.027822384428794145,0.2032520325203252,4,20140919,"{""2014-05"": -0.02536783892349792, ""2014-06"": -0.027822384428794145, ""2014-07"": 0.03815861534056175, ""2014-08"": 0.04038654684384024}",,
KEEP_CANDIDATE,purchase_day30_x1.10,single_day,purchase,1.1,{},5.9424676565127905,0.006602195083641682,0.14263492422988672,6.303280177269164,0.1232554488355098,0.16129032258064516,-0.031806906023222226,0.2032520325203252,4,20140930,"{""2014-05"": -0.031806906023222226, ""2014-06"": 0.017578211999378368, ""2014-07"": 0.0, ""2014-08"": 0.04099153942021161}",,
KEEP_CANDIDATE,purchase_day30_31_x1.10,day_range,purchase,1.1,{},5.9424676565127905,0.006602195083641682,0.14353427457142856,6.303280177269164,0.12233721275243468,0.16129032258064516,-0.031806906023222226,0.2032520325203252,7,20140930,"{""2014-05"": -0.031806906023222226, ""2014-06"": 0.017578211999378368, ""2014-07"": 0.0, ""2014-08"": 0.04099153942021161}",,
KEEP_CANDIDATE,purchase_day26_27_x1.04,day_range,purchase,1.04,{},5.94227275579804,0.006407294368891314,0.14190289884671517,6.292126105127226,0.12359007099976796,0.16129032258064516,-0.0420954293086524,0.2032520325203252,8,"20140926,20140927","{""2014-05"": 0.004339016283741337, ""2014-06"": 0.03445281751731244, ""2014-07"": -0.0420954293086524, ""2014-08"": 0.029837467278273522}",,
KEEP_CANDIDATE,purchase_day4_x0.96,single_day,purchase,0.96,{},5.942254641934794,0.00638918050564552,0.14198029295912482,6.24648064896348,0.12495943468468033,0.16129032258064516,-0.015807988885471858,0.2032520325203252,4,20140904,"{""2014-05"": 0.0, ""2014-06"": 0.021446314741462302, ""2014-07"": 0.020404110174197854, ""2014-08"": -0.015807988885471858}",,
KEEP_CANDIDATE,purchase_day30_x1.12,single_day,purchase,1.12,{},5.942251847851652,0.006386386422502888,0.14283707122821,6.311478483699477,0.12300949964260043,0.16129032258064516,-0.031806906023222226,0.2032520325203252,4,20140930,"{""2014-05"": -0.031806906023222226, ""2014-06"": 0.008221813177380355, ""2014-07"": 0.0, ""2014-08"": 0.04918984585052488}",,
KEEP_CANDIDATE,purchase_day26_x1.04,single_day,purchase,1.04,{},5.9421938655740325,0.00632840414488367,0.14190526555343538,6.276186287018673,0.12406826554302457,0.16129032258064516,-0.023036979819028858,0.2032520325203252,4,20140926,"{""2014-05"": 0.016229635937494713, ""2014-06"": 0.018619808196229215, ""2014-07"": -0.023036979819028858, ""2014-08"": 0.013897649169720694}",,
KEEP_CANDIDATE,purchase_day1_x1.08,single_day,purchase,1.08,{},5.94217714896366,0.006311687534511279,0.1417288417330362,6.262288637848952,0.12378320101162033,0.16129032258064516,-0.04062887427923467,0.2032520325203252,4,20140901,"{""2014-05"": 0.035622947339371436, ""2014-06"": -0.04062887427923467, ""2014-07"": 0.028738465406499714, ""2014-08"": 0.0}",,
KEEP_CANDIDATE,purchase_day3_4_x0.98,day_range,purchase,0.98,{},5.942082380906127,0.006216919476978333,0.1419880588794181,6.245734556222984,0.12498181746689516,0.16129032258064516,-0.016554081625968387,0.2032520325203252,8,"20140903,20140904","{""2014-05"": 0.0, ""2014-06"": 0.02125844288075207, ""2014-07"": 0.02064852708550724, ""2014-08"": -0.016554081625968387}",,
